level,traditional,pinyin,pos
4,正好,zhènghăo,Adv / Vs
4,年紀,niánjì,N
4,男人,nánrén,N
4,女人,nǚrén,N
4,父親,fùqīn,N
4,母親,mǔqīn,N
4,父母,fùmŭ,N
4,外公,wàigōng,N
4,外婆,wàipó,N
4,伯伯(˙ㄅㄛ)/伯,bóbo/bó,N
4,伯父,bófù,N
4,伯母,bómŭ,N
4,叔叔(˙ㄕㄨ)/叔,shúshu/shú,N
4,姑姑(˙ㄍㄨ),gūgu,N
4,孫女,sūnnǚ,N
4,孫子,sūnzi,N
4,關係,guānxì,N
4,害怕,hàipà,Vs
4,開心,kāixīn,Vs
4,擔心,dānxīn,Vst
4,傷心,shāngxīn,Vs-sep
4,美麗,měilì,Vs
4,帥,shuài,Vs
4,笨,bèn,Vs
4,認真,rènzhēn,Vs
4,敢,găn,Vaux
4,急,jí,Vs
4,禮貌,lĭmào,N
4,害羞,hàixiū,Vs
4,關心,guānxīn,Vst
4,心情,xīnqíng,N
4,幸福,xìngfú,Vs
4,差,cha,Vs-pred
4,兄弟,xiōngdì,N
4,阿姨,āyí,N
4,身邊,shēnbiān,N
4,身高,shēngāo,N
4,長大,zhăngdà,Vp
4,經理,jīnglĭ,N
4,教書,jiāoshū,V-sep
4,開會,kāihuì,V-sep
4,加班,jiābān,V-sep
4,危險,wéixiăn,Vs
4,安全,ānquán,Vs / N
4,成功,chénggōng,Vs
4,報告,bàogào,V / N
4,資料,zīliào,N
4,管理,guănlĭ,V
4,做法/作法,zuòfă,N
4,看法,kànfă,N
4,辦,bàn,V
4,打工,dăgōng,V-sep
4,選,xuăn,V
4,嚴重,yánzhòng,Vs
4,正式,zhèngshì,Vs
4,查,chá,V
4,考,kăo,V
4,例如,lìrú,Prep
4,例(子),lì(zi),N
4,題目,tímù,N
4,題,tí,M
4,答案,dáàn,N
4,念書/唸書,niànshū,V-sep
4,歷史,lìshĭ,N
4,數學,shùxué,N
4,書法,shūfă,N
4,英語,yīngyǔ,N
4,作文,zuòwén,N / Vi
4,漢字,hànzì,N
4,詞,cí,N
4,文法,wénfă,N
4,加上,jiāshàng,V
4,減,jiăn,Vst
4,乘,chéng,V
4,除,chú,Prep / Vst / V
4,國小,guóxiăo,N
4,中學,zhōngxué,N
4,學院,xuéyuàn,N
4,大學生,dàxuéshēng,N
4,教授,jiàoshòu,N
4,放假,fàngjià,V-sep
4,春假,chūnjià,N
4,暑假,shŭjià,N
4,寒假,hánjià,N
4,假,jià,N
4,畢業,bìyè,Vp-sep
4,學期,xuéqí,N
4,服務,fúwù,V
4,室友,shìyŏu,N
4,操場,cāochăng,N
4,校園,xiàoyuán,N
4,位子,wèizi,N
4,書桌,shūzhuō,N
4,書包,shūbāo,N
4,書架,shūjià,N
4,本子,běnzi,N
4,尺,chĭ,N
4,討論,tăolùn,V
4,同意,tóngyì,Vst
4,了解/瞭解,liăojiě,Vst
4,無聊,wúliáo,Vs
4,有趣,yŏuqù,Vs
4,有意思(˙ㄙ),yŏuyìsi,Vs
4,原因,yuányīn,N
4,遍,biàn,M
4,改,găi,V
4,忘記,wàngjì,Vpt
4,程度,chéngdù,N
4,趕快,gănkuài,Adv
4,以上,yĭshàng,N
4,以下,yĭxià,N
4,意見,yìjiàn,N
4,用功,yònggōng,Vs
4,研究,yánjiù,N / V
4,教育,jiàoyù,N / V
4,選擇,xuănzé,N / V
4,建議,jiànyì,N / V
4,知識,zhīshì,N
4,座,zuò,M
4,臥室,wòshì,N
4,臥房,wòfáng,N
4,浴室,yùshì,N
4,院(子),yuàn(zi),N
4,書房,shūfáng,N
4,洗衣機,xĭyījī,N
4,餐桌,cānzhuō,N
4,打開,dăkāi,Vp
4,箱/箱(子),xiāng /xiāng(zi),M / N
4,層,céng,M
4,櫃(子),guì(zi),N
4,大門,dàmén,N
4,鄰居,línjū,N
4,熱鬧(˙ㄋㄠ),rènao,Vs
4,吵,chăo,Vs
4,亂,luàn,Vs
4,房東,fángdōng,N
4,房屋,fángwū,N
4,搬家,bānjiā,V-sep
4,開水,kāishuĭ,N
4,鄉下,xiāngxià,N
4,傘,săn,N
4,朵,duŏ,M
4,蚊(子),wén(zi),N
4,自然,zìrán,Vs
4,月亮,yuèliàng,N
4,星星,xīngxing,N
4,環境,huánjìng,N
4,晴天,qíngtiān,N
4,暖和,nuănhuo,Vs
4,涼快,liángkuài,Vs
4,涼,liáng,Vs
4,乾,gān,Vp
4,濕/溼 ,shī,Vs
4,度,dù,M
4,颱風,táifēng,N
4,季節,jìjié,N
4,環保,huánbăo,N
4,垃圾,lèsè,N
4,汙染,wūrăn,V
4,底,dĭ,N
4,底下(˙ㄒㄧㄚ),dĭxia,N
4,內,nèi,N
4,深,shēn,Vs
4,淺,qiăn,Vs
4,發生,fāshēng,Vpt
4,照顧,zhàogù,V
4,生活,shēnghuó,N
4,日記,rìjì,N
4,流,liú,V
4,流汗,liúhàn,V-sep
4,夢,mèng,N
4,枕頭(˙ㄊㄡ),zhěntou,N
4,鬧鐘,nàozhōng,N
4,拖鞋,tuōxié,N
4,毛巾,máojīn,N
4,刷(子) / 刷,shuā(zi)/shuā,N / V
4,肥皂,féizào,N
4,牙膏,yágāo,N
4,衛生紙,wèishēngzhĭ,N
4,籃(子),lán(zi),N
4,假日,jiàrì,N
4,結束,jiéshù,Vp
4,完,wán,Vp
4,散步,sànbù,V-sep
4,慢跑,mànpăo,Vi
4,野餐,yěcān,Vi
4,爬,pá,Vi
4,拍,pāi,V
4,抓,zhuā,V
4,座位,zuòwèi,N
4,新聞,xīnwén,N
4,體育,tĭyù,N
4,經常,jīngcháng,Adv
4,雜誌,zázhì,N
4,美術,měishù,N
4,畫家,huàjiā,N
4,興趣,xìngqù,N
4,收,shōu,V
4,談,tán,V
4,聊,liáo,V
4,遲到,chídào,Vp
4,樂器,yuèqì,N
4,吉他,jítā,N
4,可怕,kěpà,Vs
4,輕鬆,qīngsōng,Vs
4,情形,qíngxíng,N
4,消息,xiāoxí,N
4,看起來,kànqĭlái,Adv
4,舞,wŭ,N
4,游,yóu,Vi
4,游泳池,yóuyŏngchí,N
4,遊戲,yóuxì,N / Vi
4,茶館/茶館兒,cháguăn/cháguănr,N
4,門票,ménpiào,N
